,0
0,3
1,2
2,2
3,4
4,4
5,2
6,4
7,3
8,4
9,1
10,1
11,4
12,1
13,1
14,4
15,4
16,2
17,1
18,1
19,3
20,1
21,3
22,1
23,2
24,4
25,3
26,1
27,4
28,1
29,3
30,2
31,3
32,4
33,3
34,1
35,3
36,2
37,4
38,3
39,1
40,4
41,4
42,2
43,3
44,2
45,2
46,2
47,2
48,1
49,4
50,3
51,3
52,1
53,4
54,4
55,4
56,3
57,3
58,1
59,2
60,1
61,2
62,2
63,1
64,1
65,1
66,1
67,4
68,2
69,4
70,1
71,2
72,4
73,4
74,1
75,1
76,1
77,1
78,3
79,1
80,3
81,4
82,3
83,2
84,2
85,2
86,3
87,1
88,3
89,3
90,3
91,3
92,3
93,1
94,2
95,2
96,3
97,1
98,3
99,4
100,3
101,4
102,2
103,3
104,3
105,3
106,1
107,3
108,3
109,1
110,1
111,4
112,3
113,1
114,1
115,4
116,1
117,2
118,1
119,4
120,2
121,3
122,1
123,1
124,3
125,4
126,3
127,2
128,3
129,3
130,4
131,3
132,1
133,3
134,4
135,1
136,3
137,1
138,2
139,2
140,4
141,4
142,3
143,3
144,4
145,1
146,3
147,3
148,1
149,2
150,4
151,3
152,4
153,2
154,3
155,3
156,4
157,4
158,2
159,3
160,2
161,3
162,2
163,3
164,4
165,1
166,2
167,4
168,1
169,3
170,2
171,3
172,4
173,4
174,4
175,4
176,2
177,2
178,2
179,3
180,1
181,1
182,1
183,3
184,2
185,1
186,4
187,3
188,4
189,3
190,4
191,2
192,1
193,4
194,3
195,1
196,3
197,1
198,3
199,1
200,2
201,4
202,2
203,4
204,4
205,3
206,3
207,1
208,1
209,1
210,2
211,4
212,4
213,4
214,3
215,3
216,2
217,2
218,2
219,4
220,2
221,3
222,1
223,4
224,3
225,3
226,1
227,3
228,1
229,1
230,4
231,4
232,4
233,4
234,1
235,1
236,3
237,1
238,4
239,3
240,1
241,3
242,4
243,3
244,3
245,2
246,2
247,1
248,2
249,1
250,3
251,4
252,3
253,4
254,1
255,3
256,3
257,1
258,2
259,3
260,4
261,4
262,4
263,1
264,1
265,2
266,4
267,2
268,3
269,2
270,4
271,1
272,2
273,3
274,3
275,3
276,2
